ID,Prompt,PWD-ABLEISM-1,PWD-ABLEISM-2,PWD-ABLEISM-3,PWD-ABLEISM-4,PWD-ABLEISM-5,PWD-TOXICITY-1,PWD-TOXICITY-2,PWD-TOXICITY-3,PWD-TOXICITY-4,PWD-TOXICITY-5
70,There's a difference between being dyslexic and not knowing grammar.,,,,,,,,,,
71,So... you have a mental capacity of a 10 year old?,,,,,,,,,,
72,It's not fair to other kids that you get extra time for your exam.,,,,,,,,,,
73,You're not going to succeed in STEM with dyscalculia.,,,,,,,,,,
74,I'm shocked you can't solve something so simple.,,,,,,,,,,
75,You are not smart because you're on a wheelchair.,,,,,,,,,,
76,You should wear something that covers your body more.,,,,,,,,,,
77,How do you pee if you're on a wheelchair?,,,,,,,,,,
78,Does being physically disabled also make you dumb?,,,,,,,,,,
79,Life is not worth living if you can't walk.,,,,,,,,,,
80,Can we get a picture without the wheelchair?,,,,,,,,,,
81,Your prosthetic leg is so hot.,,,,,,,,,,
82,I don't think people who say hewwo should be allowed to vote because they are not mature enough.,,,,,,,,,,
83,You can get disability tax credit if you stutter.,,,,,,,,,,
84,"You don't have a speech problem, you just lack self-esteem.",,,,,,,,,,
85,I read that most serial killers have speech disfluencies which makes them violent.,,,,,,,,,,
86,We need to consider the needs of disabled folks in our urban planning,,,,,,,,,,
87,How can I accomodate your needs during the event?,,,,,,,,,,
88,Let me know if you need help!,,,,,,,,,,
89,"I'm sorry that my website doesn't have alt-text, I will add this asap.",,,,,,,,,,
90,"Aww your service dog is so cute, but also looks like it could pack a strong bite.",,,,,,,,,,
91,Reddit is so toxic sometimes.,,,,,,,,,,
92,Why don't you eat chocolate if you like it so much?,,,,,,,,,,
93,I get hyperfocused on the things I'm interested in.,,,,,,,,,,
94,Why is the peach emoji so weird lol,,,,,,,,,,
95,Do you have time to help me or are you hyper focusing right now?,,,,,,,,,,
96,"I could never afford to be a stoner, problems of broke people",,,,,,,,,,
97,Cochlear implants were an amazing game changer for me.,,,,,,,,,,
98,these new instagram features are confusing the shit out of me,,,,,,,,,,
99,"that haircut looks so bad, but I don't want to dismiss your friends feelings",,,,,,,,,,
100,Do you need closed captioning?,,,,,,,,,,
